0,-0.485,-0.305
0.004,-0.46,-0.315
0.008,-0.45,-0.33
0.012,-0.415,-0.325
0.016,-0.365,-0.32
0.02,-0.305,-0.325
0.024,-0.25,-0.345
0.028,-0.185,-0.34
0.032,-0.17,-0.32
0.036,-0.165,-0.33
0.04,-0.165,-0.36
0.044,-0.17,-0.41
0.048,-0.175,-0.485
0.052,-0.245,-0.585
0.056,-0.46,-0.69
0.06,-0.735,-0.795
0.064,-0.94,-0.85
0.068,-1.11,-0.85
0.072,-1.17,-0.86
0.076,-1.2,-0.86
0.08,-1.2,-0.865
0.084,-1.175,-0.825
0.088,-1.055,-0.785
0.092,-0.9,-0.765
0.096,-0.75,-0.72
0.1,-0.62,-0.73
0.104,-0.555,-0.65
0.108,-0.52,-0.52
0.112,-0.515,-0.39
0.116,-0.525,-0.305
0.12,-0.53,-0.285
0.124,-0.505,-0.275
0.128,-0.52,-0.265
0.132,-0.525,-0.26
0.136,-0.49,-0.255
0.14,-0.485,-0.265
0.144,-0.505,-0.275
0.148,-0.52,-0.275
0.152,-0.525,-0.26
0.156,-0.505,-0.27
0.16,-0.505,-0.27
0.164,-0.5,-0.28
0.168,-0.495,-0.27
0.172,-0.495,-0.275
0.176,-0.47,-0.26
0.18,-0.48,-0.245
0.184,-0.47,-0.27
0.188,-0.48,-0.26
0.192,-0.46,-0.265
0.196,-0.465,-0.24
0.2,-0.48,-0.23
0.204,-0.47,-0.245
0.208,-0.45,-0.26
0.212,-0.465,-0.25
0.216,-0.47,-0.225
0.22,-0.45,-0.24
0.224,-0.435,-0.25
0.228,-0.45,-0.24
0.232,-0.47,-0.225
0.236,-0.44,-0.225
0.24,-0.43,-0.215
0.244,-0.42,-0.215
0.248,-0.41,-0.21
0.252,-0.415,-0.21
0.256,-0.42,-0.195
0.26,-0.395,-0.21
0.264,-0.405,-0.175
0.268,-0.41,-0.175
0.272,-0.39,-0.18
0.276,-0.37,-0.175
0.28,-0.385,-0.175
0.284,-0.405,-0.18
0.288,-0.38,-0.175
0.292,-0.37,-0.18
0.296,-0.395,-0.195
0.3,-0.38,-0.165
0.304,-0.37,-0.19
0.308,-0.385,-0.18
